Time,QHea
1/29/20 0:00,1849.632143
1/29/20 0:15,1862.477803
1/29/20 0:30,1870.583057
1/29/20 0:45,1878.515148
1/29/20 1:00,1887.40066
1/29/20 1:15,1892.312777
1/29/20 1:30,1895.207586
1/29/20 1:45,1898.153744
1/29/20 2:00,1900.956861
1/29/20 2:15,1903.188428
1/29/20 2:30,1905.803892
1/29/20 2:45,1908.38554
1/29/20 3:00,1909.668934
1/29/20 3:15,1908.89893
1/29/20 3:30,1907.318125
1/29/20 3:45,1905.600659
1/29/20 4:00,1903.2057
1/29/20 4:15,1898.867099
1/29/20 4:30,1895.349678
1/29/20 4:45,1892.007305
1/29/20 5:00,1885.450381
1/29/20 5:15,1871.96694
1/29/20 5:30,1854.701245
1/29/20 5:45,1839.932461
1/29/20 6:00,1823.491516
1/29/20 6:15,1807.939267
1/29/20 6:30,1794.538234
1/29/20 6:45,1782.70881
1/29/20 7:00,1773.774865
1/29/20 7:15,1767.071006
1/29/20 7:30,1764.342621
1/29/20 7:45,1759.978165
1/29/20 8:00,1752.34756
1/29/20 8:15,1753.598105
1/29/20 8:30,1756.096751
1/29/20 8:45,1758.91922
1/29/20 9:00,867.5639794
1/29/20 9:15,154.7853487
1/29/20 9:30,224.5922943
1/29/20 9:45,0
1/29/20 10:00,0
1/29/20 10:15,0
1/29/20 10:30,0
1/29/20 10:45,0
1/29/20 11:00,0
1/29/20 11:15,0
1/29/20 11:30,0
1/29/20 11:45,0
1/29/20 12:00,0
1/29/20 12:15,0
1/29/20 12:30,0
1/29/20 12:45,0
1/29/20 13:00,0
1/29/20 13:15,0
1/29/20 13:30,0
1/29/20 13:45,0
1/29/20 14:00,0
1/29/20 14:15,0
1/29/20 14:30,0
1/29/20 14:45,0
1/29/20 15:00,0
1/29/20 15:15,91.13122534
1/29/20 15:30,378.5189762
1/29/20 15:45,303.2906123
1/29/20 16:00,672.3670943
1/29/20 16:15,1540.951625
1/29/20 16:30,2114.132751
1/29/20 16:45,2789.423303
1/29/20 17:00,3136.653909
1/29/20 17:15,2754.768594
1/29/20 17:30,2521.589895
1/29/20 17:45,2370.476643
1/29/20 18:00,2251.324602
1/29/20 18:15,2151.675666
1/29/20 18:30,2068.057671
1/29/20 18:45,1995.107891
1/29/20 19:00,1932.508525
1/29/20 19:15,1886.363222
1/29/20 19:30,1848.518645
1/29/20 19:45,1806.498362
1/29/20 20:00,1784.830725
1/29/20 20:15,1763.592823
1/29/20 20:30,1749.488468
1/29/20 20:45,1737.591602
1/29/20 21:00,1730.454916
1/29/20 21:15,1725.876606
1/29/20 21:30,1723.611433
1/29/20 21:45,1721.398067
1/29/20 22:00,1722.702684
1/29/20 22:15,1733.249998
1/29/20 22:30,1746.750049
1/29/20 22:45,1761.313357
1/29/20 23:00,1778.905009
1/29/20 23:15,1798.139595
1/29/20 23:30,1819.039453
1/29/20 23:45,1841.263228
